Investment Name	Sponsor	Property Type	Location	Average Annual Return	Equity Multiple	Holding Period	City	Location Note	Asset Class	Asset Class 2
Sonesta ES Suites - Birmingham, AL	Peachtree Group	Credit - Hotel		0.1675	1.2	1.19			Credit / Debt	
Net-Leased Portfolio 16	ExchangeRight	Net-leased retail		0.107303	1.51	4.752909		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	
The District at Scottsdale	Bluerock	Multifamily / residential	AZ	0.254158	1.402417	1.583333	Scottsdale		Multifamily / Residential	
La Quinta (Note A) - Winchester, VA	Peachtree Group	Credit - Hotel		0.1461	1.16	1.1			Credit / Debt	
Staybridge Suites - Madison, WI	Peachtree Group	Hotel		0.0562	1.25	4.45			Hotel / Hospitality	
CF Bellevue Multifamily DST	Cantor Fitzgerald	Multifamily		0.198286	1.694	3.5		Not disclosed in PPM	Multifamily / Residential	
Stone Falls of Ada - Ada, Michigan	Syndicated Equities			0.251	1.92	3.67		Ada, Michigan		
Townhome Development - Asheville, NC	Peachtree Group	Credit - Multifamily		0.4109	1.81	1.97			Credit / Debt	
Carino's	AEI	Net-leased restaurant	TX	-0.060341	0.6425	5.924709	El Paso		Net Lease (NNN) Retail	
Home2 Suites - Bloomington, IN	Peachtree Group	Credit - Hotel		0.1022	1.08	0.78			Credit / Debt	
Holiday Inn Express - Chalmette, LA	Peachtree Group	Credit - Hotel		0.1932	1.41	2.12			Credit / Debt	
Hilton Garden Inn - Duluth, GA	Peachtree Group	Credit - Hotel		0.0859	1.28	3.26			Credit / Debt	
Carmax	AEI	Net-leased retail	GA	0.069779	1.4394	6.297057	Lithia Springs		Net Lease (NNN) Retail	
Holiday Inn Express (Note 2) - Livonia, MI	Peachtree Group	Credit - Hotel		0.2747	1.17	0.62			Credit / Debt	
Arbor Terrace	Bluerock	Multifamily / residential	GA	0.094833	1.268695	2.833333	Marietta		Multifamily / Residential	
Net-Leased Preferred Equity Fund 3	ExchangeRight	Net-leased retail (fund-level)		0.043327	1.3	6.924025		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	
KinderCare	AEI	Net-leased early education / childcare	TX	0.086363	2.736	20.1013	Ft. Worth		Net Lease (NNN) Retail	
Courtyard - Florence, SC	Peachtree Group	Credit - Hotel		0.6883	1.62	0.9			Credit / Debt	
Two Park Office Building - Milwaukee, WI	Syndicated Equities	Office	WI	0.0078	1.02	2.57	Milwaukee		Office	
Carrington Park Apartments	Bluerock	Multifamily / residential	NC	0.647165	2.186469	1.833333	Morrisville		Multifamily / Residential	
Holiday Inn Express & Suites - Bradenton, FL	Peachtree Group	Credit - Hotel		0.5435	1.25	0.46			Credit / Debt	
Element - West Windsor, NJ	Peachtree Group	Credit - Hotel		0.1927	1.23	1.19			Credit / Debt	
Net-Leased Portfolio 3	ExchangeRight	Net-leased retail		0.115204	1.88	7.638604		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	
Axis West	Bluerock	Multifamily / residential	FL	0.066921	1.284412	4.25	Orlando		Multifamily / Residential	
