Investment Name	Sponsor	Property Type	Location	Average Annual Return	Equity Multiple	Holding Period	City	Location Note	Asset Class	Asset Class 2
LIXI 4-Pack - Various, NY/NJ	Peachtree Group	Credit - Hotel		0.2682	1.68	2.54			Credit / Debt	
Creekside Village	Bluerock	Multifamily / residential	TN	0.317308	2.269231	4	Chattanooga		Multifamily / Residential	
Hotel Indigo - College Park, GA	Peachtree Group	Credit - Hotel		0.4383	1.9	2.05			Credit / Debt	
Family Discount Portfolio III DST	Inland Private Capital	Retail		-0.0258	0.74	10.08			Net Lease (NNN) Retail	
Walgreens - Clarkston, MI	Syndicated Equities	Net-leased pharmacy	MI	0.1003	1.99	9.87	Clarkston		Net Lease (NNN) Retail	
Storesmart South Wake (Raleigh)	Reliant	Self storage		0.490792	3.33	4.75		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Sonesta Simply Suites - Detroit, MI	Peachtree Group	Credit - Hotel		0.1888	1.46	2.44			Credit / Debt	
Champps	AEI	Net-leased restaurant	OH	0.00113	1.0194	17.169062	Lyndhurst		Net Lease (NNN) Retail	
Fairfield Inn & Suites - Jacksonville, FL	Peachtree Group	Credit - Hotel		3.1189	12.69	3.75			Credit / Debt	
Sonesta ES Suites - Lombard, IL	Peachtree Group	Credit - Hotel		0.2052	1.5	2.44			Credit / Debt	
Henry Ford Health - OptimEyes - Southfield, MI	Syndicated Equities	Medical Office	MI	0.1141	1.55	4.82	Southfield		Healthcare / Medical Office	
Holiday Inn (B Note) - Bristol, VA	Peachtree Group	Credit - Hotel							Credit / Debt	
Hilton Garden Inn - Tupelo, MS	Peachtree Group	Hotel		0.1293	2.09	8.43			Hotel / Hospitality	
Hampton Inn - Kilgore, TX	Peachtree Group	Credit - Hotel		0.207	1.14	0.68			Credit / Debt	
Lone Oak - Round Rock, TX	Passco Companies	Multifamily / residential	TX	0.0865	1.4472	5.17	Round Rock		Multifamily / Residential	
Holiday Inn Express - Daytona Beach, FL	Peachtree Group	Credit - Hotel		0.1232	1.45	3.65			Credit / Debt	
Macon Office DST	Inland Private Capital	Office		0.0583	1.69	11.83			Office	
Sea Breeze Inn - Fort Walton, FL	Peachtree Group	Credit - Hotel		2.9934	2.09	0.36			Credit / Debt	
EVEN - Tinley Park, IL	Peachtree Group	Credit - Hotel		0.1107	1.03	0.27			Credit / Debt	
Home2 - Fort Mill, SC	Peachtree Group	Credit - Hotel		0.2122	1.81	3.82			Credit / Debt	
Carino's	AEI	Net-leased restaurant	TX	0.058386	1.7195	12.323066	Austin		Net Lease (NNN) Retail	
Fairfield Inn & Suites - Temecula, CA	Peachtree Group	Credit - Hotel		0.3023	1.36	1.19			Credit / Debt	
TownePlace Suites - Chandler, AZ	Peachtree Group	Hotel		0.1123	1.53	4.72			Hotel / Hospitality	
Self-Storage Portfolio IV DST	Inland Private Capital	Self storage		0.1659	1.76	4.58			Self Storage	
Stratford	Bluerock	Multifamily / residential	TX	0.138602	1.462006	3.333333	San Antonio		Multifamily / Residential	
Hyatt Place - Fort Myers, FL	Peachtree Group	Credit - Hotel		0.3412	1.34	1			Credit / Debt	
Hampton Inn - Milwaukee NW, WI	Peachtree Group	Credit - Hotel		0.1534	1.31	2.02			Credit / Debt	
Hotel Indigo - Sarasota, FL	Peachtree Group	Credit - Hotel		0.1927	2.02	5.29			Credit / Debt	
Sears Sterling - Lombard, IL	Syndicated Equities	Retail	IL	0.1386	3.11	15.23	Lombard		Net Lease (NNN) Retail	
Multifamily 3 - Lakeside at Arbor Place Apartments	ExchangeRight	Multifamily		0.143848	1.46	3.19781		Not disclosed in PPM	Multifamily / Residential	
Mall at Robinson - Pittsburgh, PA	Peachtree Group	Credit - Retail		0.1691	1.32	1.89			Credit / Debt	
EVEN - Atlanta, GA	Peachtree Group	Credit - Hotel		0.1985	1.8	4.03			Credit / Debt	
Westin - Tampa, FL	Peachtree Group	Credit - Hotel		0.1833	2.23	6.71			Credit / Debt	
The Cottages at Warner Robins	Bluerock	Multifamily / residential	GA	0.124906	1.249811	2	Warner Robins		Multifamily / Residential	
Grove at Waterford	Bluerock	Multifamily / residential	TN	0.130966	1.33833	2.583333	Hendersonville		Multifamily / Residential	
Sierra Terrace	Bluerock	Multifamily / residential	GA	0.123989	1.247978	2	Atlanta		Multifamily / Residential	
Applebee's	AEI	Net-leased restaurant	VA	0.076506	1.1948	2.546201	Virginia Beach		Net Lease (NNN) Retail	
Storesmart Watkinsville	Reliant	Self storage		0.313695	2.15	3.67		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Elan Apartments	Bluerock	Multifamily / residential	TX	0.670036	2.228399	1.833333	Austin		Multifamily / Residential	
Hickory Hollow - Antioch, TN	Passco Companies	Multifamily / residential	TN	0.1983	2.0074	5.08	Antioch		Multifamily / Residential	
Candlewood Suites - Winnemucca, NV	Peachtree Group	Credit - Hotel		0.0086	1.03	3.49			Credit / Debt	
Acquisition Notes	ExchangeRight	Debt / notes program		0.072566	1.39	5.374401		Multiple states - not disclosed in PPM	Credit / Debt	
PNS Grocery DST	Inland Private Capital	Retail		0.0565	1.24	4.25			Net Lease (NNN) Retail	
Discount Retail Venture II DST	Inland Private Capital	Retail		-0.0093	0.89	11.83			Net Lease (NNN) Retail	
Lake Meade - North Las Vegas, CA	Passco Companies	Retail	CA	0.0787	1.203	2.58	North Las Vegas		Net Lease (NNN) Retail	
Pharmacy Sale Leaseback II DST	Inland Private Capital	Retail		0.076	1.57	7.5			Net Lease (NNN) Retail	
The Riley	Bluerock	Multifamily / residential	TX	0.118875	1.188218	1.583333	Richardson		Multifamily / Residential	
Fairfield Inn & Suites - Alexandria, VA	Peachtree Group	Credit - Hotel		0.2655	1.82	3.09			Credit / Debt	
Villas at Oak Crest	Bluerock	Multifamily / residential	TN	0.096534	1.329825	3.416667	Chattanooga		Multifamily / Residential	
Storesmart Buford	Reliant	Self storage		0.004707	1.02	4.25		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Tech Ridge	Bluerock	Multifamily / residential	TX	0.473632	2.18408	2.5	Austin		Multifamily / Residential	
Metropolitan Place Retail - Chicago, IL	Syndicated Equities	Retail	IL	0.0867	1.78	9	Chicago		Net Lease (NNN) Retail	
Marriott Fairfield Inn - Milwaukee, WI	Syndicated Equities	Hotel	WI	-0.1971	0.08	4.67	Milwaukee		Hotel / Hospitality	
Visions Drive 1031 DST	Inland Private Capital	Office		0.0501	1.71	14.17			Office	
Sonesta ES Suites - Middleburg Heights, OH	Peachtree Group	Credit - Hotel		0.1929	1.47	2.44			Credit / Debt	
Indian Springs	Bluerock	Multifamily / residential	TX	-0.004469	0.981752	4.083333	El Paso		Multifamily / Residential	
NorthShore University HealthSystem - Bannockburn, IL	Syndicated Equities	Medical Office	IL	0.089	1.83	9.33	Bannockburn		Healthcare / Medical Office	
Ft. Collins Multifamily III DST	Inland Private Capital	Multifamily		0.1309	1.67	5.12			Multifamily / Residential	
Staybridge Suites - South Bend, IN	Peachtree Group	Credit - Hotel		0.0641	1.07	1.09			Credit / Debt	
Rush-Copley - Aurora, IL	Syndicated Equities	Medical Office	IL	-0.059	0.42	9.82	Aurora		Healthcare / Medical Office	
Schaumburg Childcare DST	Inland Private Capital	Office		0.0311	1.29	9.33			Office	
Town Center at Cobb - Kennesaw, GA	Peachtree Group	Credit - Retail		0.193	1.25	1.3			Credit / Debt	
Aloft - Columbia, SC	Peachtree Group	Credit - Hotel							Credit / Debt	
Fairfield Inn & Suites - Charlottesville, VA	Peachtree Group	Hotel		2.0167	1.9	0.45			Hotel / Hospitality	
LivInn Suites - Sharonville, OH	Peachtree Group	Credit - Hotel		0.0477	1.13	2.72			Credit / Debt	
Holiday Inn - New Orleans, LA	Syndicated Equities	Hotel	LA	-0.1105	0.3	6.33	New Orleans		Hotel / Hospitality	
Bradenton Multifamily DST	Inland Private Capital	Multifamily		0.1135	1.53	4.67			Multifamily / Residential	
Comfort / MainStay - Cincinnati, OH	Peachtree Group	Credit - Hotel		0.168	1.27	1.61			Credit / Debt	
FSC GM Lebanon IN, DST (Gander)	Four Springs TEN31 Xchange	Industrial		0.036595	1.4234	11.57		United States	Industrial	
BentoLiving (Note B) - Nashville, TN	Peachtree Group	Credit - Hotel		0.0731	1.07	0.96			Credit / Debt	
Holiday Inn - Mount Olive, NJ	Peachtree Group	Credit - Hotel		0.1393	1.09	0.65			Credit / Debt	
Holiday Inn Express - Auburn, AL	Peachtree Group	Credit - Hotel		0.1851	1.26	1.4			Credit / Debt	
Courtland Center - Burton, MI	Syndicated Equities	Retail	MI	-0.0596	0.39	10.23	Burton		Net Lease (NNN) Retail	
CNL - 1st DOT (Participation) - Los Angeles, CA	Peachtree Group	Credit - Mixed Use		1.2633	1.92	0.73			Credit / Debt	
Hampton Inn - Panama City Beach, FL	Peachtree Group	Credit - Hotel		0.5638	2.84	3.26			Credit / Debt	
Best Western - Macomb, IL	Peachtree Group	Credit - Hotel		0.5642	1.19	0.34			Credit / Debt	
Fairfield Inn & Suites (Note A) - Fort Morgan, CO	Peachtree Group	Credit - Hotel		0.1934	1.36	1.86			Credit / Debt	
Cash America	AEI	Net-leased retail	LA	0.018299	1.3215	17.568789	Covington		Net Lease (NNN) Retail	
Courtyard - Columbia, SC	Peachtree Group	Hotel							Hotel / Hospitality	
Sonoma Pointe	Bluerock	Multifamily / residential	FL	0.203265	2.016324	5	Kissimmee		Multifamily / Residential	
Colorado Multifamily Portfolio DST	Inland Private Capital	Multifamily		0.0956	1.43	4.5			Multifamily / Residential	
Encore Chandler	Bluerock	Multifamily / residential	AZ	0.157667	1.315333	2	Chandler		Multifamily / Residential	
Longitude 82 - Sarasota, FL	Passco Companies	Multifamily / residential	FL	0.1607	1.7231	4.5	Sarasota		Multifamily / Residential	
Hanford Mall - Hanford, CA	Passco Companies	Retail	CA	-0.028595	0.5399	16.09	Hanford		Net Lease (NNN) Retail	
Series 2005-A 8% Participating Debentures	Passco Companies	Debt / notes program							Credit / Debt	
TownePlace Suites - Florence, SC	Peachtree Group	Credit - Hotel		0.1284	1.18	1.4			Credit / Debt	
Public Square Garage - Nashville, TN	Syndicated Equities	Parking	TN	-0.0658	0.39	9.26	Nashville		Parking	
Holiday Inn Express - Albany, NY	Peachtree Group	Credit - Hotel		0.1533	1.45	2.93			Credit / Debt	
Courtyard - Cincinnati, OH	Peachtree Group	Credit - Hotel		0.102	1.1	0.98			Credit / Debt	
Homewood Suites - Destin, FL	Peachtree Group	Hotel		0.1503	1.81	5.39			Hotel / Hospitality	
Multifamily 4 - North Austin Apartment Portfolio	ExchangeRight	Multifamily		0.086964	1.37	4.25462		Austin, TX (implied by program name)	Multifamily / Residential	
Fairfield Inn & Suites / Four Points - Amarillo, TX	Peachtree Group	Credit - Hotel		0.1123	1.36	3.21			Credit / Debt	
Chi-Chi's	AEI	Net-leased restaurant	WI	0.054397	1.4526	8.320329	Appleton		Net Lease (NNN) Retail	
My Place Hotel - Jamestown, ND	Peachtree Group	Credit - Hotel		0.3026	1.14	0.46			Credit / Debt	
Ample Korean Restaurant - Barstow, CA	Peachtree Group	Credit - Other		0.1616	1.05	0.31			Credit / Debt	
Leigh House	Bluerock	Multifamily / residential	NC	0.255455	1.936667	3.666667	Raleigh		Multifamily / Residential	
DoubleTree - West Fargo, ND	Peachtree Group	Credit - Hotel		0.1331	1.2	1.5			Credit / Debt	
Hillsboro 1031 DST	Inland Private Capital	Retail		0.0404	1.34	8.42			Net Lease (NNN) Retail	
Parkview Inn (Note A) - Syracuse, NY	Peachtree Group	Credit - Hotel		0.3753	2.31	3.49			Credit / Debt	
Rite Aid	AEI	Net-leased pharmacy	NY	0.012213	1.2227	18.234086	Auburn		Net Lease (NNN) Retail	
DoubleTree - Atlantic Beach, NC	Peachtree Group	Credit - Hotel		0.1945	1.49	2.52			Credit / Debt	
Memorial Square 1031, L.L.C.	Inland Private Capital	Retail		0.0177	1.27	15.27			Net Lease (NNN) Retail	
Le Meridien Hotel - Chicago, IL	Syndicated Equities	Hotel	IL	0.6867	1.69	1	Chicago		Hotel / Hospitality	
Sonesta ES Suites - Minneapolis, MN	Peachtree Group	Credit - Hotel		0.1627	1.2	1.23			Credit / Debt	
Midgard Naples 2	Reliant	Self storage		0.019269	1.09	4.67		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Hampton Inn & Suites - East Point, GA	Peachtree Group	Hotel		0.3624	1.89	2.46			Hotel / Hospitality	
Weatherford BFR 185	Bluerock	Multifamily / residential	TX	0.124352	1.051813	0.416667	Weatherford		Multifamily / Residential	
Courtyard / Fairfield Inn and Suites - Lithia Springs, GA	Peachtree Group	Credit - Hotel		0.205	1.5	2.44			Credit / Debt	
Rite Aid - Youngstown, OH	Syndicated Equities	Net-leased pharmacy	OH	0.0999	2.6	16.01	Youngstown		Net Lease (NNN) Retail	
Sleep Inn Suites- Baltimore, MD	Peachtree Group	Credit - Hotel		0.5773	2.47	2.55			Credit / Debt	
Storesmart Rockledge	Reliant	Self storage		0.375328	3.16	5.75		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Days Inn - Gettysburg, PA	Peachtree Group	Credit - Hotel		0.2497	1.32	1.28			Credit / Debt	
Super Foodtown - Hempstead, NY	Peachtree Group	Credit - Retail		0.3845	1.06	0.16			Credit / Debt	
Bristol 1031 DST	Inland Private Capital	Office		-0.0212	0.78	10.37			Office	
Tractor Supply	AEI	Net-leased retail	VA	0.108429	3.4877	22.94319	Bristol		Net Lease (NNN) Retail	
Hilton Garden Inn - Arlington, VA	Peachtree Group	Credit - Hotel		0.1812	1.25	1.38			Credit / Debt	
Springhill Suites - East Syracuse, NY	Peachtree Group	Credit - Hotel		0.4457	1.87	1.95			Credit / Debt	
TownePlace Suites - Cincinnati, OH	Peachtree Group	Credit - Hotel		0.2218	1.15	0.68			Credit / Debt	
Hotel Indigo - Columbus, IN	Peachtree Group	Credit - Hotel							Credit / Debt	
Glenwood	Bluerock	Multifamily / residential	GA	0.066839	1.378755	5.666667	Atlanta		Multifamily / Residential	
Hampton Inn & Suites (Note 1) - East Syracuse, NY	Peachtree Group	Credit - Hotel		0.6154	1.31	0.5			Credit / Debt	
The Hartley at Blue Hill Loan	Bluerock	Multifamily / residential	NC	0.096145	1.208315	2.166667	Chapel Hill		Multifamily / Residential	
Hampton Inn (JFK) - Jamaica, NY	Peachtree Group	Credit - Hotel		0.1958	1.41	2.09			Credit / Debt	
Tumbleweed	AEI	Net-leased restaurant	OH	0.03825	1.4301	11.244353	Columbus		Net Lease (NNN) Retail	
Columns at Wakefield - Raleigh, NC	Passco Companies	Multifamily / residential	NC	0.1254	1.795	6.34	Raleigh		Multifamily / Residential	
Vue21 - Colorado Springs, CO	Passco Companies	Multifamily / residential	CO	0.1449	1.6274	4.33	Colorado Springs		Multifamily / Residential	
Net-Leased Portfolio 15	ExchangeRight	Net-leased retail & healthcare		0.100685	1.47	4.668036		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	Healthcare / Medical Office
Holiday Inn Express - Austell, GA	Peachtree Group	Credit - Hotel		1.5543	1.8	0.51			Credit / Debt	
Ontario, Canada - VTB SALES (vendor take-back)	Walton Global	Undeveloped / pre-development land		-0.014006	0.85	10.71		Canada - Ontario	Undeveloped Land	
Holiday Inn (A Note) - Bristol, VA	Peachtree Group	Credit - Hotel							Credit / Debt	
Resort at Port Arrowhead - Lake Ozark, MO	Peachtree Group	Credit - Hotel		-0.0828	0.63	4.47			Credit / Debt	
Holiday Inn Express - New Albany, IN	Peachtree Group	Credit - Hotel		0.0152	1.07	4.6			Credit / Debt	
Element - Detroit, MI (Mezz)	Peachtree Group	Credit - Hotel		0.1367	1.07	0.51			Credit / Debt	
Aaron's	AEI	Net-leased retail	AL	-0.012181	0.7861	17.560575	Muscle Shoals		Net Lease (NNN) Retail	
Fox Hill	Bluerock	Multifamily / residential	TX	0.309983	1.619966	2	Austin		Multifamily / Residential	
Brier Creek - Raleigh, NC	Passco Companies	Multifamily / residential	NC	0.0744	1.4159	5.59	Raleigh		Multifamily / Residential	
Olivet Church 1031, L.L.C.	Inland Private Capital	Retail		-0.028	0.64	12.88			Net Lease (NNN) Retail	
Country Inn & Suites (Note 2) - Kearney, NE	Peachtree Group	Credit - Hotel		0.5383	1.14	0.26			Credit / Debt	
Best Western - Simi Valley, CA	Peachtree Group	Credit - Hotel		0.3483	1.41	1.18			Credit / Debt	
Crowne Plaza - Wauwatosa, WI	Peachtree Group	Hotel		0.2961	1.3	1.01			Hotel / Hospitality	
Willow Park	Bluerock	Multifamily / residential	TX	0.090096	1.315335	3.5	Fort Worth		Multifamily / Residential	
Homewood Suites - Gretna, LA	Peachtree Group	Credit - Hotel		0.1409	1.6	4.26			Credit / Debt	
Home2 Suites - Lakewood Ranch, FL	Peachtree Group	Credit - Hotel		0.7642	1.77	1.01			Credit / Debt	
Estates - Duluth, GA	Passco Companies	Multifamily / residential	GA	0.212	2.202	5.67	Duluth		Multifamily / Residential	
Storesmart Fayetteville GA	Reliant	Self storage		0.505984	3.15	4.25		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Austin Lakeshore Multifamily DST	Inland Private Capital	Multifamily		0.1096	1.33	3.01			Multifamily / Residential	
Midgard Greenwood	Reliant	Self storage		0.148459	1.73	4.92		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Staybridge Suites - Plainfield, IN	Peachtree Group	Credit - Hotel		0.1584	1.76	4.8			Credit / Debt	
Ivy - Orlando, FL	Passco Companies	Multifamily / residential	FL	0.0315	1.16	5.08	Orlando		Multifamily / Residential	
Springhill Suites - Panama City Beach, FL	Peachtree Group	Credit - Hotel		0.3716	2.57	4.22			Credit / Debt	
Renew 3030	Bluerock	Multifamily / residential	AZ	0.100769	1.117564	1.166667	Mesa		Multifamily / Residential	
Strategic Storage Growth Trust II, Inc. (SSGT II)	Blue Door	Self storage						United States (multi-state)	Self Storage	
Orange City Apartments	Bluerock	Multifamily / residential	FL	0.214711	1.250496	1.166667	Orange City		Multifamily / Residential	
Country Inn & Suites - Birmingham, AL	Peachtree Group	Credit - Hotel		0.946	3.73	2.89			Credit / Debt	
Veranda - Prospect, KY	Passco Companies	Multifamily / residential	KY	0.1464	1.8535	5.83	Prospect		Multifamily / Residential	
Best Western Portfolio - Various, VA	Peachtree Group	Credit - Hotel		0.3724	1.47	1.26			Credit / Debt	
Sonesta ES Suites - Montgomery, AL	Peachtree Group	Credit - Hotel		0.1847	1.45	2.44			Credit / Debt	
Timber Lodge	AEI	Net-leased restaurant	MN	0.015741	1.2138	13.582478	St. Cloud		Net Lease (NNN) Retail	
Fairfield Inn & Suites - San Francisco, CA	Peachtree Group	Credit - Hotel		0.1474	1.37	2.51			Credit / Debt	
Candlewood Suites - Fort Myers, FL	Peachtree Group	Credit - Hotel							Credit / Debt	
KinderCare	AEI	Net-leased early education / childcare	MO	0.051406	1.4515	8.783025	Ballwin		Net Lease (NNN) Retail	
Sonesta Simply Suites - Knoxville, TN	Peachtree Group	Credit - Hotel		0.1709	1.27	1.58			Credit / Debt	
DoubleTree (Note B) - New Bern, NC	Peachtree Group	Credit - Hotel		0.9679	2.81	1.87			Credit / Debt	
Naperville Retail Center DST	Inland Private Capital	Retail		0.1591	1.49	3.08			Net Lease (NNN) Retail	
Hampton Inn - Metairie, LA	Peachtree Group	Credit - Hotel		0.1582	1.24	1.52			Credit / Debt	
Deerwood Apartments	Bluerock	Multifamily / residential	TX	0.070213	1.093617	1.333333	Houston		Multifamily / Residential	
Marriott Courtyard - Indianapolis, IN	Syndicated Equities	Hotel	IN	-0.2762	0.07	3.37	Indianapolis		Hotel / Hospitality	
Chevy Chase	Bluerock	Multifamily / residential	TX	0.488889	2.1	2.25	Austin		Multifamily / Residential	
Holiday Inn - Johnson City, TN	Peachtree Group	Credit - Hotel		0.1183	1.29	2.45			Credit / Debt	
Plantation Park	Bluerock	Multifamily / residential	TX	-0.135627	0.59312	3	Lake Jackson		Multifamily / Residential	
Four Seasons Hotel - Austin, TX	Syndicated Equities	Hotel	TX	0.1603	1.94	5.86	Austin		Hotel / Hospitality	
The Reserve at Palmer Ranch	Bluerock	Multifamily / residential	FL	0.119079	1.158772	1.333333	Sarasota		Multifamily / Residential	
Traton Homes Milford - Marietta, GA	Peachtree Group	Credit - Land		0.2299	1.27	1.17			Credit / Debt	
Zionsville Ground Express DST	Inland Private Capital	Industrial		0.1198	1.23	1.92			Industrial	
West Loop Multifamily Development - Chicago, IL	Syndicated Equities	Multifamily / residential	IL	0.0864	1.57	6.6	Chicago		Multifamily / Residential	
Residence Inn - Hamilton Township, NJ	Peachtree Group	Credit - Hotel		0.1419	1.49	3.45			Credit / Debt	
Pharmacy Sale Leaseback DST	Inland Private Capital	Retail		0.0724	1.69	9.53			Net Lease (NNN) Retail	
Madison at Fairwood - Renton, WA	Passco Companies	Multifamily / residential	WA	-0.0735	0.59	6.33	Renton		Multifamily / Residential	
Mesa Ridge	Bluerock	Multifamily / residential	TX	0.619127	2.393035	2.25	San Antonio		Multifamily / Residential	
Jefferson Place	Bluerock	Multifamily / residential	MD	0.081333	1.569329	7	Frederick		Multifamily / Residential	
Sleep Inn - Lake Charles, LA	Peachtree Group	Credit - Hotel		0.3107	2.4	4.51			Credit / Debt	
Charlotte 1031, L.L.C.	Inland Private Capital	Office		-0.0232	0.77	9.92			Office	
Hilton Garden Inn - Lawrenceville, NJ	Peachtree Group	Credit - Hotel		0.1498	1.64	4.27			Credit / Debt	
Wingate Inn - Buford, GA	Peachtree Group	Credit - Hotel		0.3923	2.22	3.11			Credit / Debt	
Hampton Inn & Suites (Note 2) - East Syracuse, NY	Peachtree Group	Credit - Hotel		0.6154	1.31	0.5			Credit / Debt	
Hilton Garden Inn - Davis, CA	Peachtree Group	Credit - Hotel		0.165	1.21	1.27			Credit / Debt	
Schaumburg 1031 Venture, L.L.C.	Inland Private Capital	Industrial		-0.0057	0.93	12.25			Industrial	
Sea Mist Resort - Myrtle Beach, SC	Peachtree Group	Credit - Hotel		0.3027	1.93	3.07			Credit / Debt	
Hilton Garden Inn - Wesley Chapel, FL	Peachtree Group	Credit - Hotel		0.1457	1.71	4.87			Credit / Debt	
Taco Cabana	AEI	Net-leased restaurant	TX	0.086045	2.1329	13.166324	San Antonio		Net Lease (NNN) Retail	
Midgard Murrells Inlet Two	Reliant	Self storage			4.3			United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Midgard Greenville 2 (Butler Rd)	Reliant	Self storage		0.127779	1.65	5.09		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Village at Orange - Orange, CA	Passco Companies	Retail	CA	-0.0583	0.3	12.04	Orange		Net Lease (NNN) Retail	
Passco Germantown, LLC - Germantown, Tennessee	Passco Companies	Undeveloped / pre-development land		-0.143062	0	6.99		Germantown, Tennessee	Undeveloped Land	
Turkey Creek - Knoxville, TN	Passco Companies	Multifamily / residential	TN	0.153	1.9058	5.92	Knoxville		Multifamily / Residential	
Denver MSA Multifamily DST	Inland Private Capital	Multifamily		0.2229	1.39	1.75			Multifamily / Residential	
Multifamily 1 - Van Mark Creek Apartments	ExchangeRight	Multifamily		0.088838	1.35	3.939767		Not disclosed in PPM	Multifamily / Residential	
LSC-UKHS HC2, DST	Livingston Street Capital	Not disclosed		0.102682	1.299457	2.92		Not disclosed		
Almeria - Chandler, AZ	Passco Companies	Multifamily / residential	AZ	0.202	1.9252	4.58	Chandler		Multifamily / Residential	
Social Security Administration - Fort Wayne, IN	Syndicated Equities	Government / GSA-leased	IN	0.0419	1.53	12.66	Fort Wayne		Government / GSA-Leased	
Crocker & Towne (Participation) - Los Angeles, CA	Peachtree Group	Credit - Retail		0.2661	1.22	0.83			Credit / Debt	
Passco Companies Income Fund I, LLC	Passco Companies	Debt / notes program							Credit / Debt	
Holiday Inn Express & Suites - Granger, IN	Peachtree Group	Credit - Hotel		0.1878	1.18	0.96			Credit / Debt	
Four Corners	Bluerock	Multifamily / residential	FL	0.192299	1.657022	3.416667	Orlando		Multifamily / Residential	
1000 West - Charleston, SC	Passco Companies	Multifamily / residential	SC	0.1664	1.832	5	Charleston		Multifamily / Residential	
Holiday Inn - Duluth, GA	Peachtree Group	Credit - Hotel		0.65	1.21	0.32			Credit / Debt	
Comfort Inn - Lancaster, PA	Peachtree Group	Credit - Hotel		1.1188	1.34	0.3			Credit / Debt	
Holiday Inn Express & Suites - Carter Lake, IA	Peachtree Group	Credit - Hotel		0.1869	1.13	0.7			Credit / Debt	
Sprinkle Cutoff - Austin, TX	Peachtree Group	Credit - Other		0.1419	1.15	1.06			Credit / Debt	
Net-Leased Portfolio 8	ExchangeRight	Net-leased retail & healthcare		0.108553	1.51	4.698152		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	Healthcare / Medical Office
Milwaukee MSA Multifamily Portfolio DST	Inland Private Capital	Multifamily		0.0726	1.55	7.58			Multifamily / Residential	
Hilton Garden Inn - Arlington, VA	Peachtree Group	Credit - Hotel		0.1812	1.25	1.38			Credit / Debt	
River North Retail Development - Chicago, IL	Syndicated Equities	Retail	IL	0.0304	1.21	6.91	Chicago		Net Lease (NNN) Retail	
Storesmart Spring Lake	Reliant	Self storage		0.808858	4.84	4.75		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Thompson - San Antonio, TX	Peachtree Group	Credit - Hotel		0.1851	1.11	0.59			Credit / Debt	
Hampton Inn & Suites - Lake Mary, FL	Peachtree Group	Hotel		0.4326	2.06	2.45			Hotel / Hospitality	
Azure - St. Petersburg, FL	Passco Companies	Multifamily / residential	FL	0.1081	1.5135	4.75	St. Petersburg		Multifamily / Residential	
Holiday Inn Express (Note B) - Las Vegas, NM	Peachtree Group	Credit - Hotel		0.2694	1.18	0.67			Credit / Debt	
Marcus Pointe - Pensacola, FL	Passco Companies	Multifamily / residential	FL	0.1192	1.7355	6.17	Pensacola		Multifamily / Residential	
Belmont Crossing	Bluerock	Multifamily / residential	GA	0.109489	1.218978	2	Smyrna		Multifamily / Residential	
Acquisition Notes 3	ExchangeRight	Debt / notes program		0.057671	1.18	3.12115		Multiple states - not disclosed in PPM	Credit / Debt	
Midgard Boat and Self Storage	Reliant	Self storage		0.236599	2.44	6.09		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Alamance Reserve	Bluerock	Multifamily / residential	NC	0.008007	1.033363	4.166667	Burlington		Multifamily / Residential	
CF Aurora Multifamily DST	Cantor Fitzgerald	Multifamily		0.052034	1.307	5.9		Not disclosed in PPM	Multifamily / Residential	
Comfort Suites - Wilson, NC & Comfort Inn - Capitol Heights, MD	Peachtree Group	Credit - Hotel		0.3134	1.32	1.02			Credit / Debt	
Candlewood Suites - North Syracuse, NY	Peachtree Group	Credit - Hotel		0.2918	1.6	2.06			Credit / Debt	
Hampton Inn - Plymouth Meeting, PA	Peachtree Group	Credit - Hotel		0.2029	1.67	3.3			Credit / Debt	
Pharmacy Portfolio IV DST	Inland Private Capital	Retail		0.1605	2.7	10.59			Net Lease (NNN) Retail	
Homewood Suites - Troy, MI	Peachtree Group	Credit - Hotel		1.0496	1.25	0.24			Credit / Debt	
Fairfield Inn & Suites - Birmingham, AL	Peachtree Group	Credit - Hotel		0.0849	1.4	4.71			Credit / Debt	
Hilton Garden Inn - Atlanta, GA	Peachtree Group	Credit - Hotel		0.2111	1.5	2.37			Credit / Debt	
Home2 Suites - Lawrenceville, GA	Peachtree Group	Hotel		0.2006	2.3	6.48			Hotel / Hospitality	
Geneva 1031, L.L.C.	Inland Private Capital	Office		0.0112	1.16	14.25			Office	
Walgreens - Chicago, IL	Syndicated Equities	Net-leased pharmacy	IL	0.1035	2.14	11.01	Chicago		Net Lease (NNN) Retail	
Hampton Inn - Pell City, AL	Peachtree Group	Hotel		0.0826	1.58	7.02			Hotel / Hospitality	
