Record ID	Property Type	Investment Name	Sponsor
recMrIR81Xwg6g2hc	Credit - Hotel	BB&T Quarter 3 2012 Portfolio	Peachtree Group
recMrXsPnuT9BBUTN	Multifamily / residential	Windsor Falls	Bluerock
recMuUQN5NkKLpqzL	Hotel	TownePlace Suites - Southaven, MS	Peachtree Group
recMvMPiks6YBHi12	Multifamily / residential	Sundance Creek - McDonough, GA	Passco Companies
recMwpLyBQV3rPyFY	Multifamily / residential	Lower Broadway	Bluerock
recMyj3LLnRWic54N	Credit - Hotel	Home2 Suites - Florida City, FL	Peachtree Group
recN64Q2L48MxDUGF	Credit - Hotel	Holiday Inn - Mobile, AL	Peachtree Group
recN6joaa6uqOf7bl	Office	Charlotte Office 1031 DST	Inland Private Capital
recNA73mqJHT6DR09	Hotel	Residence Inn - Little Rock, AR	Peachtree Group
recNIvldIVRqIo9JR	Credit - Hotel	Sonesta ES Suites - Middleburg Heights, OH	Peachtree Group
recNK6PyZ4JgLsmca	Retail	National Net Lease Portfolio V DST	Inland Private Capital
recNKO0cYsX6777lq	Credit - Hotel	Holiday Inn Express (Note A) - Charlotte, NC	Peachtree Group
recNKPyX2bigZgX66	Credit - Hotel	AC - San Diego, CA	Peachtree Group
recNRMN6Vut6OtUgq	Multifamily / residential	Raveneaux - Houston, TX	Passco Companies
recNSQcDN2FjSNPM0	Credit - Hotel	Country Suites - Wilmington, NC	Peachtree Group
recNWdCuOvDBCLM65	Medical Office	ARC Houston Healthcare, DST	ARCTRUST
recNatZmr479HFiZv	Credit - Hotel	President Hotel (B Note) - Kansas City, MO	Peachtree Group
recNkUN5uKF4DnGhg	Government / GSA-leased	Customs & Border Patrol - Atlanta, GA	Syndicated Equities
recNlFj0EV4VjFNdW	Credit - Hotel	TownePlace Suites - Irving, TX	Peachtree Group
recNn9aXyhuOonTRN		Legacy at Acworth - Acworth, GA	Syndicated Equities
recNpEHKU2IK60Zlu	Credit - Hotel	Fairfield Inn & Suites (Note B) - Fort Morgan, CO	Peachtree Group
recNx5BGJ0ZwP8Moo	Credit - MultiFamily	Hanley & Mote - Covington, GA	Peachtree Group
recNxhbUk1S7lBpbj		The Vista & Willow Creek - Portage and Battle Creek, MI	Syndicated Equities
recNzX2OXRmr5Zf6X	Credit - Hotel	Hampton Inn - Bowie, MD	Peachtree Group
recO1W4qLbJHlAeB7	Retail	Shops of Beverly - Beverly, IL	Syndicated Equities
recO4C1N2PPMUBDFo	Net-leased restaurant	Applebee's	AEI
recO5CT66QpreQtQW	Retail	Fashion Outlet Center - Las Vegas, NV	Syndicated Equities
recO88ZChxGytwHuu	Net-leased restaurant	Fuddruckers	AEI
recOCAkz1BncVvS2A	Credit - Hotel	Holiday Inn Express - Jacksonville, FL	Peachtree Group
recOGaAfu6N19WDX0	Hotel	Staybridge Suites - Middleton, WI	Peachtree Group
recOMS0hOuc2SSXa5	Hotel	Hampton Inn - Plantation, FL	Peachtree Group
recONyFXE7slMu9Op	Credit - Hotel	Hampton Inn (Note B) - Cullman, AL	Peachtree Group
recOOMvDfyaDnoc5J	Self storage	Self-Storage Portfolio V DST	Inland Private Capital
recORJjP2L8WsMNj0	Self storage	Fund I	Reliant
recORYMOd2JXYnFf2	Retail	Modesto Retail Center DST	Inland Private Capital
recOVFyJRNhJ9cwZ8	Retail	National Net Lease Portfolio VI DST	Inland Private Capital
recOmemXlIxhw9xqB	Credit - Hotel	Fairfield Inn & Suites - East Syracuse, NY	Peachtree Group
recOrSe2WaG4ttFaQ	Credit - Hotel	Hampton Inn - Tampa, FL	Peachtree Group
recOvheQK6Qn8FRW4	Credit - Office	Office Building (Acorn) - Thomasville, GA	Peachtree Group
recP4G7zPd8PtHQ6u	Multifamily / residential	Riverside Apartments	Bluerock
recP6Kg37o9NfKQaf	Self storage	Midgard Mall Drive	Reliant
recP7z7XeaPtQ0BVN	Retail	Clay 1031, L.L.C.	Inland Private Capital
recPAlDFjd9ogEuYs	Credit - Hotel	Dolphin Inn - Virginia Beach, VA	Peachtree Group
recPC80aNMp0evNYs	Multifamily / residential	Arlington - Spanish Fort, AL	Passco Companies
recPG6YrHF1aCT7jO	Credit - Hotel	SpringHill Suites (Note 1) - Coralville, IA	Peachtree Group
recPIABs4Qg850aGJ	Net-leased restaurant	Tumbleweed	AEI
recPJqGzxj68pkht6	Credit - Hotel	Courtyard (Note 2) - Niagara, NY	Peachtree Group
recPKRLrzHo5LGDWG	Credit - Hotel	EVEN - Atlanta, GA	Peachtree Group
recPMAjlpYWbVBZTl	Credit - Hotel	Homewood Suites - Macon, GA	Peachtree Group
recPN6ZTRS5bi2KPJ	Credit - Hotel	Best Western - Mesa, AZ	Peachtree Group
recPOpp0PUEbfgesP	Debt / notes program	Acquisitions Notes 2	ExchangeRight
recPdC5t80pkCbiI4	Credit - Hotel	Hyatt Regency - Newport Beach, CA	Peachtree Group
recPdGPSxKEzCYniE	Multifamily / residential	Village at Lionsgate - Overland Park, KS	Passco Companies
recPfDqO5l0U6SKeQ	Credit - Hotel	LIXI 4-Pack - Various, NY/NJ	Peachtree Group
recPh4GxNaSxktK67	Multifamily / residential	Creekside Village	Bluerock
recPn7m9JC6EJu7eW	Credit - Hotel	Hotel Indigo - College Park, GA	Peachtree Group
recPqN029szvwyvSc	Retail	Family Discount Portfolio III DST	Inland Private Capital
recPrQQzW4fQf7t35	Net-leased pharmacy	Walgreens - Clarkston, MI	Syndicated Equities
recPtlWTWOesxw7Fd	Self storage	Storesmart South Wake (Raleigh)	Reliant
recPu7yuUoXMNEDv5	Credit - Hotel	Sonesta Simply Suites - Detroit, MI	Peachtree Group
recPxePN4Q0bCEdah	Net-leased restaurant	Champps	AEI
recPzazYGhamMLWAj	Credit - Hotel	Fairfield Inn & Suites - Jacksonville, FL	Peachtree Group
recQ2GqwmQ6irfSEQ	Credit - Hotel	Sonesta ES Suites - Lombard, IL	Peachtree Group
recQ36Lp48Vl1DlGr	Medical Office	Henry Ford Health - OptimEyes - Southfield, MI	Syndicated Equities
recQDoV6K2WFcjPpj	Credit - Hotel	Holiday Inn (B Note) - Bristol, VA	Peachtree Group
recQLIZob0CZzc9wJ	Hotel	Hilton Garden Inn - Tupelo, MS	Peachtree Group
recQRWhe1MjfPMjYt	Credit - Hotel	Hampton Inn - Kilgore, TX	Peachtree Group
recQSwrLDLHPWSTh3	Multifamily / residential	Lone Oak - Round Rock, TX	Passco Companies
recQh2hNHV1y5ikoz	Credit - Hotel	Holiday Inn Express - Daytona Beach, FL	Peachtree Group
recQj17dnpEE7CCm5	Office	Macon Office DST	Inland Private Capital
recQoOnLWKmhg0u1H	Credit - Hotel	Sea Breeze Inn - Fort Walton, FL	Peachtree Group
recQsaGkj0Dh0IKRT	Credit - Hotel	EVEN - Tinley Park, IL	Peachtree Group
recQssh9R4JYu8MLJ	Credit - Hotel	Home2 - Fort Mill, SC	Peachtree Group
recQxZcQMddglBlch	Net-leased restaurant	Carino's	AEI
recR0QepvMpG44YcS	Credit - Hotel	Fairfield Inn & Suites - Temecula, CA	Peachtree Group
recR49t8zWWB8C4qZ	Hotel	TownePlace Suites - Chandler, AZ	Peachtree Group
recR5xRJDCyvNhyCL	Self storage	Self-Storage Portfolio IV DST	Inland Private Capital
recR7GKo5g9rcAiXm	Multifamily / residential	Stratford	Bluerock
recRAySPAz89WugHE	Credit - Hotel	Hyatt Place - Fort Myers, FL	Peachtree Group
recRFzysbh6QZkAFU	Credit - Hotel	Hampton Inn - Milwaukee NW, WI	Peachtree Group
recRJOqhjIf3M5w3j	Credit - Hotel	Hotel Indigo - Sarasota, FL	Peachtree Group
recRJu5udrwk0SKFn	Retail	Sears Sterling - Lombard, IL	Syndicated Equities
recRLLX4tlac4WOEk	Multifamily	Multifamily 3 - Lakeside at Arbor Place Apartments	ExchangeRight
recRMDB15fO3kRfg6	Credit - Retail	Mall at Robinson - Pittsburgh, PA	Peachtree Group
recRMcquAsWdZkVQI	Credit - Hotel	EVEN - Atlanta, GA	Peachtree Group
recRSf68SoJD57xHg	Credit - Hotel	Westin - Tampa, FL	Peachtree Group
recRYGSoENiaxGLiP	Multifamily / residential	The Cottages at Warner Robins	Bluerock
recRYQQ2Socc1QS7I	Multifamily / residential	Grove at Waterford	Bluerock
recRk5FBiLRaW68qr	Multifamily / residential	Sierra Terrace	Bluerock
recRqKIyk7mgumj9n	Net-leased restaurant	Applebee's	AEI
recS1gvP2BDpMTdQ7	Self storage	Storesmart Watkinsville	Reliant
recS2VzgqRAqUroMo	Multifamily / residential	Elan Apartments	Bluerock
recS7aZSoCD3QW1Mq	Multifamily / residential	Hickory Hollow - Antioch, TN	Passco Companies
recSBJiWsgbdKnHjl	Credit - Hotel	Candlewood Suites - Winnemucca, NV	Peachtree Group
recSDZSVzHTkhY6sm	Debt / notes program	Acquisition Notes	ExchangeRight
recSFsZIMfmsdYPg5	Retail	PNS Grocery DST	Inland Private Capital
recSLp0AlhEFrufGq	Retail	Discount Retail Venture II DST	Inland Private Capital
recSMDPitW0i7ErlV	Retail	Lake Meade - North Las Vegas, CA	Passco Companies
recSS7kgcPr4AsAPy	Retail	Pharmacy Sale Leaseback II DST	Inland Private Capital
recSWPaeUi6NvjXiD	Multifamily / residential	The Riley	Bluerock
recSfiwpFW8oZivSl	Credit - Hotel	Fairfield Inn & Suites - Alexandria, VA	Peachtree Group
recShUQ0ORwqCTHcm	Multifamily / residential	Villas at Oak Crest	Bluerock
recSkv9Ug0Bogc7pU	Self storage	Storesmart Buford	Reliant
recSqkfLmNAZTe1cX	Multifamily / residential	Tech Ridge	Bluerock
recSveO4NVQJNnFjF	Retail	Metropolitan Place Retail - Chicago, IL	Syndicated Equities
recSxEPQTXkrnPiIo	Hotel	Marriott Fairfield Inn - Milwaukee, WI	Syndicated Equities
recT0FnGPiPgV3ay9	Office	Visions Drive 1031 DST	Inland Private Capital
recT4a4j2yKVSqy7Z	Credit - Hotel	Sonesta ES Suites - Middleburg Heights, OH	Peachtree Group
recTCjMjR9UbLQx5p	Multifamily / residential	Indian Springs	Bluerock
recTF7TbUGA1LJj2s	Medical Office	NorthShore University HealthSystem - Bannockburn, IL	Syndicated Equities
recTFGI7KUYSYNMNn	Multifamily	Ft. Collins Multifamily III DST	Inland Private Capital
recTGrA5YIWMpC1yp	Credit - Hotel	Staybridge Suites - South Bend, IN	Peachtree Group
recTIAHXrelnnuFH5	Medical Office	Rush-Copley - Aurora, IL	Syndicated Equities
recTK055kHqR51OPT	Office	Schaumburg Childcare DST	Inland Private Capital
recTNBvu1lHme9amF	Credit - Retail	Town Center at Cobb - Kennesaw, GA	Peachtree Group
recTNDVrw5DVx1Vob	Credit - Hotel	Aloft - Columbia, SC	Peachtree Group
recTPmREetsBDlCe9	Hotel	Fairfield Inn & Suites - Charlottesville, VA	Peachtree Group
recTWFxnbnN3UwKLT	Credit - Hotel	LivInn Suites - Sharonville, OH	Peachtree Group
recTWT5nv9rXjFjyK	Hotel	Holiday Inn - New Orleans, LA	Syndicated Equities
recTYodfvzVYdbkjd	Multifamily	Bradenton Multifamily DST	Inland Private Capital
recTcPy6XNpZsKAHL	Credit - Hotel	Comfort / MainStay - Cincinnati, OH	Peachtree Group
recThpNqC75YekNRM	Industrial	FSC GM Lebanon IN, DST (Gander)	Four Springs TEN31 Xchange
recTji4xWsQpmQhtp	Credit - Hotel	BentoLiving (Note B) - Nashville, TN	Peachtree Group
recTlBJqfpOR25GV8	Credit - Hotel	Holiday Inn - Mount Olive, NJ	Peachtree Group
