Record ID	Property Type	Investment Name	Sponsor
reca1PyFHZLaYo6xr	Credit - Hotel	Best Western Portfolio - Various, VA	Peachtree Group
reca1bI9x0j2o4X9j	Credit - Hotel	Sonesta ES Suites - Montgomery, AL	Peachtree Group
reca54BzmxleVVtHA	Net-leased restaurant	Timber Lodge	AEI
reca6Hl8uXBoBbwpc	Credit - Hotel	Fairfield Inn & Suites - San Francisco, CA	Peachtree Group
reca70kbL5NoXnwui	Credit - Hotel	Candlewood Suites - Fort Myers, FL	Peachtree Group
reca7ECxwAdWkJft0	Net-leased early education / childcare	KinderCare	AEI
recaAkrXea08Xq9pc	Credit - Hotel	Sonesta Simply Suites - Knoxville, TN	Peachtree Group
recaBsMxkJ2jYW7yr	Credit - Hotel	DoubleTree (Note B) - New Bern, NC	Peachtree Group
recaClrnA56Kg3Q8d	Retail	Naperville Retail Center DST	Inland Private Capital
recaEDO7XgFv7hTYo	Credit - Hotel	Hampton Inn - Metairie, LA	Peachtree Group
recaOvNEpG2574WMp	Multifamily / residential	Deerwood Apartments	Bluerock
recaU9oclAy1ppYmY	Hotel	Marriott Courtyard - Indianapolis, IN	Syndicated Equities
recaUQoL21lKRf4CX	Multifamily / residential	Chevy Chase	Bluerock
recaX7dVmBz6x3YGn	Credit - Hotel	Holiday Inn - Johnson City, TN	Peachtree Group
recaZ2N437aIE1uCP	Multifamily / residential	Plantation Park	Bluerock
recalQXAOS1Cx0DzP	Hotel	Four Seasons Hotel - Austin, TX	Syndicated Equities
recamEP1wjbCsDIPR	Multifamily / residential	The Reserve at Palmer Ranch	Bluerock
recanfUAeYQauHXYl	Credit - Land	Traton Homes Milford - Marietta, GA	Peachtree Group
recappIoQ9qcivfvm	Industrial	Zionsville Ground Express DST	Inland Private Capital
recatx1hnmPvpONlP	Multifamily / residential	West Loop Multifamily Development - Chicago, IL	Syndicated Equities
recawQ9EabGm4EylG	Credit - Hotel	Residence Inn - Hamilton Township, NJ	Peachtree Group
recawedneIjLMrDvg	Retail	Pharmacy Sale Leaseback DST	Inland Private Capital
recb3OGXzBRcRelcz	Multifamily / residential	Madison at Fairwood - Renton, WA	Passco Companies
recb6pbGpBD0ohbQU	Multifamily / residential	Mesa Ridge	Bluerock
recb9aiuteWA9IaiV	Multifamily / residential	Jefferson Place	Bluerock
recbAG6mCDC35VMgl	Credit - Hotel	Sleep Inn - Lake Charles, LA	Peachtree Group
recbBs4FnsYJ0I0lu	Office	Charlotte 1031, L.L.C.	Inland Private Capital
recbDnUzopdEe5CO5	Credit - Hotel	Hilton Garden Inn - Lawrenceville, NJ	Peachtree Group
recbGPT2waU7durAx	Credit - Hotel	Wingate Inn - Buford, GA	Peachtree Group
recbKoUSfOUse3900	Credit - Hotel	Hampton Inn & Suites (Note 2) - East Syracuse, NY	Peachtree Group
recbMIwyL5jLUYFEi	Credit - Hotel	Hilton Garden Inn - Davis, CA	Peachtree Group
recbNNuV8CT3UdBAx	Industrial	Schaumburg 1031 Venture, L.L.C.	Inland Private Capital
recbQSnxSw7JjWGLl	Credit - Hotel	Sea Mist Resort - Myrtle Beach, SC	Peachtree Group
recbSdrMgq9YPnbgL	Credit - Hotel	Hilton Garden Inn - Wesley Chapel, FL	Peachtree Group
recbb4LhzMRERipza	Net-leased restaurant	Taco Cabana	AEI
recbcWp9g41fgPZiZ	Self storage	Midgard Murrells Inlet Two	Reliant
recbcfsaf4Qq29ihA	Self storage	Midgard Greenville 2 (Butler Rd)	Reliant
recbdsbCWYdjfhAeB	Retail	Village at Orange - Orange, CA	Passco Companies
recbivXa06xykypEq	Undeveloped / pre-development land	Passco Germantown, LLC - Germantown, Tennessee	Passco Companies
recbjUIKW9w2emUgS	Multifamily / residential	Turkey Creek - Knoxville, TN	Passco Companies
recbjlxNOuCRUkcNY	Multifamily	Denver MSA Multifamily DST	Inland Private Capital
recblrpdRkzRp6N33	Multifamily	Multifamily 1 - Van Mark Creek Apartments	ExchangeRight
recbn3marQpjFZeuh	UNIDENTIFIED - not disclosed in Table 2	LSC-UKHS HC2, DST	Livingston Street Capital
recbn9DFWBtHiUTdN	Multifamily / residential	Almeria - Chandler, AZ	Passco Companies
recbokgMC1P3jixfk	Government / GSA-leased	Social Security Administration - Fort Wayne, IN	Syndicated Equities
recboqMOZiJc0AJi4	Credit - Retail	Crocker & Towne (Participation) - Los Angeles, CA	Peachtree Group
recbsgPaRhD7rNLgG	Debt / notes program	Passco Companies Income Fund I, LLC	Passco Companies
recbvBUvr9uFrvWEV	Credit - Hotel	Holiday Inn Express & Suites - Granger, IN	Peachtree Group
recbzBsOcmyVhy1S3	Multifamily / residential	Four Corners	Bluerock
recc3gakOdatE7pfo	Multifamily / residential	1000 West - Charleston, SC	Passco Companies
recc5IfB9eD4lNZAp	Credit - Hotel	Holiday Inn - Duluth, GA	Peachtree Group
recc683K1sm19YIAU	Credit - Hotel	Comfort Inn - Lancaster, PA	Peachtree Group
recc6Q9aROcraqAxP	Credit - Hotel	Holiday Inn Express & Suites - Carter Lake, IA	Peachtree Group
recc7G22eJao1BoCI	Credit - Other	Sprinkle Cutoff - Austin, TX	Peachtree Group
reccDRSSz04h8WgCa	Net-leased retail & healthcare	Net-Leased Portfolio 8	ExchangeRight
reccERVeuPmA4jd0K	Multifamily	Milwaukee MSA Multifamily Portfolio DST	Inland Private Capital
reccFYepWWSZCoWCi	Credit - Hotel	Hilton Garden Inn - Arlington, VA	Peachtree Group
reccTNhWUa8bIMUxm	Retail	River North Retail Development - Chicago, IL	Syndicated Equities
recceoJOJSe5zwlZz	Self storage	Storesmart Spring Lake	Reliant
reccfoshOhjynaJib	Credit - Hotel	Thompson - San Antonio, TX	Peachtree Group
recchAaMZVtWkyWEA	Hotel	Hampton Inn & Suites - Lake Mary, FL	Peachtree Group
reccisrphbVvHLfom	Multifamily / residential	Azure - St. Petersburg, FL	Passco Companies
reccsG0ugJi43017X	Credit - Hotel	Holiday Inn Express (Note B) - Las Vegas, NM	Peachtree Group
recctXM08MbwA3Qbt	Multifamily / residential	Marcus Pointe - Pensacola, FL	Passco Companies
recctnjT2vf5IoxxS	Multifamily / residential	Belmont Crossing	Bluerock
recctrTpHhYH4tctr	Debt / notes program	Acquisition Notes 3	ExchangeRight
reccxKlWYHLltpMgU	Self storage	Midgard Boat and Self Storage	Reliant
recd2ab6HBsmZN59U	Multifamily / residential	Alamance Reserve	Bluerock
recd4BvLyqV8lgKtB	Multifamily	CF Aurora Multifamily DST	Cantor Fitzgerald
recdDMirW9wDo2hQW	Credit - Hotel	Comfort Suites - Wilson, NC & Comfort Inn - Capitol Heights, MD	Peachtree Group
recdPJe6IRHhx8CYw	Credit - Hotel	Candlewood Suites - North Syracuse, NY	Peachtree Group
recdQhKiI2zj3NeAP	Credit - Hotel	Hampton Inn - Plymouth Meeting, PA	Peachtree Group
recdUrKMav330Orbq	Retail	Pharmacy Portfolio IV DST	Inland Private Capital
recdVAPcSTriXwsJM	Credit - Hotel	Homewood Suites - Troy, MI	Peachtree Group
recdY4vT9FZ1CS4ho	Credit - Hotel	Fairfield Inn & Suites - Birmingham, AL	Peachtree Group
recdZULzP5pEKxY5N	Credit - Hotel	Hilton Garden Inn - Atlanta, GA	Peachtree Group
recdZvHhcTDWqPOcM	Hotel	Home2 Suites - Lawrenceville, GA	Peachtree Group
recdcmilDrpvKGgYD	Office	Geneva 1031, L.L.C.	Inland Private Capital
recdeMBIesfQDQ1oV	Net-leased pharmacy	Walgreens - Chicago, IL	Syndicated Equities
recdgxELfYb6PYdp1	Hotel	Hampton Inn - Pell City, AL	Peachtree Group
recdsr58RIxWMorfh	Credit - Hotel	Courtyard (Note 2) - Newark, OH	Peachtree Group
recdtl2VZoJYDkjtv	Hotel	Wingate - Kennesaw, GA	Peachtree Group
recdtwyamiifq8CJe	Credit - Hotel	Courtyard / TownePlace Suites - Galveston, TX	Peachtree Group
recdtzaBcdsqGg0IO	Hotel	Holiday Inn - Franklin, TN	Peachtree Group
recdxDdSGy9SUFXSC	Self storage	Storesmart Riverdale	Reliant
recdyD5RfJNnkHbAb	Multifamily / residential	Autumn Breeze - Noblesville, IN	Passco Companies
rece0TOikF7Vkwe8D	Credit - Hotel	Hampton Inn & Suites - Oakdale, MN	Peachtree Group
rece1f3jdzGPu4txi	Multifamily / residential	Hillsboro	Bluerock
rece2lssE2zxt6g3e	Retail	Family Discount Portfolio II DST	Inland Private Capital
rece2p832ZjGKWu8X	Net-leased restaurant	Mimi's Café	AEI
receTtrudlqSPJra9	Multifamily	Carmel Multifamily DST	Inland Private Capital
receYnaGfpr2JgWd4	Multifamily / residential	Shelby - Alexandria, VA	Passco Companies
recedwNeyJT9rd5pW	Multifamily / residential	The Woods at Forrest Hill	Bluerock
recefFrjKrkrPnjqn	Retail	Burbank 1031, L.L.C.	Inland Private Capital
receicAvl1HqjYtDY	Multifamily / residential	Providence Trail	Bluerock
recesIDUzSLJkBhaY	Retail	Craig Crossing 1031, L.L.C.	Inland Private Capital
receuOeBjTISTRab2	Credit - Hotel	Sonesta ES Suites - Dublin, OH	Peachtree Group
recevVh0dmDAARSUG	Single Tenant Fitness	West Orange Fitness, DST	ARCTRUST
recewZRYzfSLA1gC3	Credit - Hotel	Tru - Florida City, FL	Peachtree Group
recey6raxL4wvQMq2	Credit - Hotel	Courtyard - Buffalo, NY	Peachtree Group
recf1DxlBJM6revzS	Net-leased early education / childcare	KinderCare / Children's World	AEI
recf240RpJvqW7E7I	Credit - Multifamily	Rockport Harvey Housing Phase I - Rockport, TX	Peachtree Group
recfEO7eQ5FgZ42Lc	Multifamily / residential	Water’s Edge	Bluerock
recfG7cvDTI9g8oCV	Credit - Hotel	Hilton Garden Inn - Buford, GA	Peachtree Group
recfGI2FA5wV7pzEo	Hotel	Hampton Inn - Corydon, IN	Peachtree Group
recfGQEXe39XLHUbi	Retail	Custom Pharmacy Sale Leaseback, L.L.C.	Inland Private Capital
recfKEa8svoisE7si	Government / GSA-leased	Social Security Administration - Worthington, OH	Syndicated Equities
recfQGVzaXzsbHfn5	Office	Houston 1031 Limited Partnership	Inland Private Capital
recfV4tDiQgppugU0	Credit - Multifamily	Ridgehouse Multifamily - Olivette, MO	Peachtree Group
recfeMOZUEcP5AhR4	Credit - Hotel	Holiday Inn Express - Commerce, GA	Peachtree Group
recflcL6oURLdXdPR	Hotel	Hilton Garden Inn - Overland Park, KS	Peachtree Group
recfxTRDFT8TWvTyu	Credit - Hotel	Wingate (A Note) - Lancaster, PA	Peachtree Group
recfzEntWlEEPpBzh	Multifamily / residential	Park on the Square	Bluerock
recg03dHY5UaXSJlc	Retail	Cranberry Square - Pittsburgh, PA	Syndicated Equities
recg2hLf5lwhvn4zg	Multifamily / residential	Helios	Bluerock
recgHZsCRIAuEGy0S		11 Stanwix - Pittsburgh, PA	Syndicated Equities
recgKK2wTQ7nsZCqK	Self storage	Midgard Little River	Reliant
recgV6HvEGIir36WB	Retail	Webster Place Shopping Center - Chicago, IL	Syndicated Equities
recgYcM6ShbrDdZkh	Credit - Hotel	Hampton Inn - Birmingham, AL	Peachtree Group
recgZTgb0g52AjAOq	Net-leased restaurant	Carino's	AEI
recgiIOXoGWD3nosS	Credit - Hotel	Springhill Suites - Roswell, GA	Peachtree Group
recgkGa3fPAx78T0n	Credit - Hotel	Suburban Extended Stay - Westminster, CO	Peachtree Group
recgprMbwxXoiTjg7	Hotel	Homewood Suites - Covington, LA	Peachtree Group
recgqIsFexiKLQwu8	Credit - Hotel	TownePlace Suites - Cupertino, CA	Peachtree Group
recgtpNX67dUrxGQ9	Multifamily / residential	Element	Bluerock
recgv8sWmsxPzNkYU	Credit - Hotel	Courtyard - Newburgh, NY	Peachtree Group
recgvlj9Rij7g3jh5	Credit - Hotel	Doubletree - Atlanta, GA	Peachtree Group
recgz61VpQnE2xjUk	Credit - Other	Resort Property - Asheville, NC	Peachtree Group
rech02Vbl5NHUY8Rs	Credit - Hotel	Origin - Raleigh, NC	Peachtree Group
rech8MqTYCS6bI4Gp	UNIDENTIFIED - not disclosed in Table 2	LSC-AM MC2, DST	Livingston Street Capital
rechCKm4GG6Dhpu7a		Flatiron Athletic Club - Broomfield, CO	Syndicated Equities
rechI14FZiAsXZUSB	Retail	National Net Lease Portfolio	Inland Private Capital
rechIXNDNVP9blPwg	Multifamily / residential	Sierra Village	Bluerock
rechMm9UgtXHekNH3	Credit - Hotel	Hilton Garden Inn - Phoenix, AZ	Peachtree Group
rechQfz6GaQXLq6rE	Net-leased early education / childcare	KinderCare / Children's World	AEI
rechRTNavKP9U0Nqx	Credit - Hotel	Comfort Suites - Huntersville, NC	Peachtree Group
rechSPPbqHUuQnKCX	Multifamily / residential	Point at Tamaya - Jacksonville, FL	Passco Companies
rechXNhxd8GOR7zkx	Multifamily	CF Summerfield Multifamily DST	Cantor Fitzgerald
rechcKCm48NWmDLaV	Credit - Hotel	Comfort Inn & Suites - Birmingham, AL	Peachtree Group
rechedJeCBDHFO6ou	Credit - Hotel	Hotel Indigo - Tuscaloosa, AL	Peachtree Group
rechfJofiyIqgxxbL	Credit - Hotel	Holiday Inn - Greensboro, NC	Peachtree Group
rechgRfvk7wkI6x7S	Necessity Retail	CF WAG Portfolio DST	Cantor Fitzgerald
rechit4xb9n0xu1lV	Self storage	Self-Storage Portfolio I DST	Inland Private Capital
rechkrufxHWCHyoMN	Retail	FSC BJ Tilton NH, DST	Four Springs TEN31 Xchange
rechs2yovwg7C4UQ1	Multifamily / residential	Meadows at Home Place - Prattville, AL	Passco Companies
rechsAWPIqDkFiYFE	Multifamily	Naples Multifamily DST	Inland Private Capital
reci2TOhhGVo09BvV	Multifamily / residential	Marisol - Viera, FL	Passco Companies
reci6zlmdg8mY8hRy	Credit - Hotel	Hampton Inn - Waldorf, MD	Peachtree Group
reciIunJZE1S12PSN	Retail	Cranberry Retail Venture DST	Inland Private Capital
reciToRjJJArzxr07	Credit - Hotel	Homewood Suites - Eatontown, NJ	Peachtree Group
reciWJ9mlzk1KRQqV	Self storage	Midgard Murfreesboro Cason	Reliant
reciYJMfELCsNnk8h	Self storage	Storesmart Summerville	Reliant
recij3IltOYBct31m	Credit - Hotel	Best Western - Enterprise, AL	Peachtree Group
recipHZyiC5C4gnA3	Retail	Retail Shopping Centers - Indiana & Kentucky	Syndicated Equities
recj2Risjwnm8QTKA	Single Tenant Retail	Fredericksburg Lansdowne, DST	ARCTRUST
recj30TXShKdPoAc4	Credit - Hotel	Doubletree Suites - Rancho Cordova, CA	Peachtree Group
recj6IgiLllWXNFAP	Industrial	New York Power DST	Inland Private Capital
recjQYfshfnKzHjIL	Multifamily / residential	Sorrel Phillips Creek	Bluerock
recjRSLDSYczNN2m0	Multifamily / residential	Plaza Gardens	Bluerock
recjalGHRB6hXwmHT	Multifamily / residential	The Summit - Kent, WA	Passco Companies
recjecdghQWZ0VpGp	Credit - Hotel	Curio - Cincinnati, OH	Peachtree Group
recji3FdcaHGFYL9e	Credit - Other	Avondale Station - Avondale, AZ	Peachtree Group
recjo1BupaOhXBYVJ	Credit - Hotel	Sonesta ES Suites - Birmingham, AL	Peachtree Group
recjr51kg1EkrruqT	Retail	Murfreesboro 1031, L.L.C.	Inland Private Capital
recjswTC2xUwCYlB5	Credit - Hotel	Comfort Suites - Columbus, GA	Peachtree Group
recjx17mSydoPXRjP	Credit - Hotel	Hampton Inn - Martinsburg, WV	Peachtree Group
recjzGVi4fjdOAHnq	Credit - Other	Sleep Inn Parking Lot- Baltimore, MD	Peachtree Group
reck4gmGsl730dJxP		309 Green Street - Champaign, IL	Syndicated Equities
reck4s5uhKEjvHh4g	Hotel	DoubleTree & Embassy Suites - Rosemont, IL	Syndicated Equities
reck70rnkdtUJpiUd	Credit - Hotel	Staybridge Suites - Cathedral City, CA	Peachtree Group
reck7hSH9jNgRgsvy	Multifamily	Ft. Collins Multifamily Portfolio DST	Inland Private Capital
reckG0V3JHsHHGxkW	Multifamily / residential	Wells Place Apartment Development - Chicago, IL	Syndicated Equities
reckIrarBC7J4EMsS	Multifamily	CF Star Multifamily Portfolio DST	Cantor Fitzgerald
reckKj1ngn0CyyQbX	Retail	W Pharmacy I DST	Inland Private Capital
reckNNfPgUcncepuT	Credit - Hotel	Comfort Inn & Suites - Tacoma, WA	Peachtree Group
reckQzR2ptjiF3MNK	Credit - Hotel	Four Points - Huntersville, NC	Peachtree Group
reckUMTNiZ25YPtdF	Multifamily / residential	Marquis Portfolio (4 properties, reported on a portfolio basis)	Bluerock
reckW93FxaOiN4Aoq	Multifamily	CF Rivertop Multifamily DST	Cantor Fitzgerald
reckb5NGJw0VivS8N	Multifamily / residential	Veranda at Centerfield	Bluerock
reckcHbwSNOWyJlGK	Multifamily / residential	Arium Metrowest	Bluerock
reckctt5PK3NQc68H	Credit - Hotel	Holiday Inn (Note 3) - Lancaster, PA	Peachtree Group
reckdgJLYlxlstv81	Credit - Hotel	Sonesta ES Suites - Memphis, TN	Peachtree Group
reckfOev2FSAWAMKT	Undeveloped / pre-development land	Alberta, Canada - BULK SALES (84 projects)	Walton Global
reckiHBTWdToUl0r5	Multifamily / residential	Stonebrook	Bluerock
reckns1tqIwj5OKPW	Credit - Hotel	Holiday Inn Express - Monahans, TX	Peachtree Group
reckr2n9ICeE0JdwH	Credit - Hotel	Hampton Inn - Alexander City, AL	Peachtree Group
reckxpwvuc6I7NbyW	Retail	FSC AS Jonesboro AR, DST	Four Springs TEN31 Xchange
reckxvDSSnFrVSdfa	Credit - Hotel	Homewood Suites - San Antonio, TX	Peachtree Group
recl1eYkKDb87ROkB	Credit - Hotel	Hilton Garden Inn - Fort Washington, PA	Peachtree Group
reclDhKlIavf3jS8g	Multifamily / residential	Preston View	Bluerock
reclIx7H3YOhxcrSx	Credit - Hotel	Homewood Suites - Poughkeepsie, NY	Peachtree Group
reclIyVsImBCJQwPh	Multifamily / residential	CADE Boca Raton	Bluerock
reclLAVo8vC8KXjJZ	Net-leased retail & healthcare	Net-Leased Portfolio 12	ExchangeRight
reclN39doMAtdE2y3	Net-leased restaurant	Chateau Elite	AEI
reclTLIXjXfcSO03X	Credit - Hotel	Home2 - Hilton Head, SC	Peachtree Group
reclWEnHXprQUCKTG	Multifamily / residential	Desert Parks Vista - Scottsdale, AZ	Passco Companies
reclXiwbTf7iy1ueQ	Self storage	Amarillo Self-Storage Portfolio DST	Inland Private Capital
recle85KBXLV60BVF	Hotel	SpringHill Suites - Birmingham, AL	Peachtree Group
reclelJwnVNen8u8u	Multifamily / residential	Enclave at Rivergate - Charlotte, NC	Passco Companies
reclk8a1lEK5426ja	Credit - Hotel	Hampton - Buellton, CA	Peachtree Group
recloYntdcrNcaTBZ	Student housing	Charlotte Student Housing DST	Inland Private Capital
reclr5UhLAeWFd38W	Multifamily / residential	Meadowmont	Bluerock
reclsm1dXUPFrO0dT	Net-leased retail & healthcare	Net-Leased Portfolio 22	ExchangeRight
reclyNRoPnLPP5yVA	Net-leased early education / childcare	KinderCare / Children's World	AEI
recm1QVVCr5YCbGEj	Credit - Hotel	TRYP - Savannah, GA	Peachtree Group
recm2g79rWLdKMsFH	Net-leased pharmacy	Walgreens - Alexandria, MN	Syndicated Equities
recm3ymNSIFRoBWWq	Hotel	Homewood Suites - Daytona, FL	Peachtree Group
recm7WAyTu6r9GAqN	Credit - Hotel	President Hotel (C Note) - Kansas City, MO	Peachtree Group
recm7vk4pzMrPJL7O	Net-leased restaurant	Rio Bravo	AEI
recm9sQSLdFjV6HQw	Office	Norwalk Office Building - Norwalk, CA	Syndicated Equities
recmEMcQ5s7eSOa9g	Credit - Hotel	SpringHill Suites - Milpitas, CA	Peachtree Group
recmJ7EH8pSF1plWO	Multifamily / residential	Falls at Forsyth	Bluerock
recmLbcEwm0HWQebj	Multifamily / residential	Chattahoochee Ridge	Bluerock
recmMeCWfkvFydgt0	Multifamily / residential	Encore at the Park - Durham, NC	Passco Companies
recmOBdA7FSPYZdtV	Net-leased restaurant	Carino's	AEI
recmYgCbOCuIij4CJ	Credit - Hotel	City Lofts - Beaufort, SC	Peachtree Group
recmZfvUHvkxyL2DT	Credit - Hotel	Hampton Inn - Pasadena, TX	Peachtree Group
recmbXO2z8g1Y4go4	Multifamily / residential	The Reserve at Palmer Ranch	Bluerock
recmcibeaOijIl34m	Multifamily	San Antonio Multifamily II DST	Inland Private Capital
recmj1IaUWwrjOGvi	Credit - Hotel	Margaritaville - South Padre, TX	Peachtree Group
recmj3sv7jLQvYU2y	Credit - Hotel	Home2 Suites - Charlotte, NC	Peachtree Group
recmk4G7AzUTWRBRK	Student housing	Student Housing Development - Carbondale, IL	Syndicated Equities
recmmlsXHl07Myk2U	Net-leased restaurant	Champps	AEI
recmqZQunDkfUS5Zh	Multifamily	Chicagoland Multifamily DST	Inland Private Capital
recmqz6sbMSsOMokD	Credit - Hotel	Fairfield Inn - Orange Beach, AL	Peachtree Group
recmrow65vRFh1H8W	Net-leased restaurant	Marie Callender's	AEI
recmxsHaPbNrNp3iK	Hotel	Hampton Inn - Okeechobee, FL	Peachtree Group
recn02XHgTdBa8Sas	Net-leased pharmacy	Walgreens - Hickory Hills, IL	Syndicated Equities
recn7Xp9Thiy3zgTH	Credit - Land	Land (98 Lots) - Meadow Springs, GA	Peachtree Group
recnA5IK264gDejQh	Retail	Chicagoland Street Retail DST	Inland Private Capital
recnAVHAhvP3KeKj6	Multifamily / residential	Mira Vista	Bluerock
recnB5VeqMvk2sfRW	Credit - Hotel	Paul Hotel - New York, NY	Peachtree Group
recnI7Z1p7TRr6Nxg	Multifamily / residential	Denim	Bluerock
recnIrokpR8csy8ar	Multifamily / residential	Estates at Perimeter	Bluerock
recnYsHZeUkA7t1if	Self storage	Storesmart Warner Robins Two	Reliant
recnhhPkTMhJQEEUu	Multifamily / residential	Cottages at Myrtle Beach	Bluerock
recnjnphywENIefpd	Credit - Hotel	Courtyard (Note 1) - Niagara, NY	Peachtree Group
recnkfLBAyxsEgEa4	Retail	Reynoldsburg 1031, L.L.C.	Inland Private Capital
recnlszCkwOYOwQP4	Undeveloped / pre-development land	Passco Palm Desert, LLC - Palm Desert, California	Passco Companies
recnwIijxfBiowsZi	Multifamily	Pearland Multifamily DST	Inland Private Capital
recnxCBobnNk0nCo9	Multifamily / residential	Hunter’s Pointe	Bluerock
recnxLNNx4BHoMdbk	Credit - Hotel	Springhill Suites - Montgomery, AL	Peachtree Group
reco41UPPlc6iZAxK	Credit - Hotel	Briad Working Capital Loan	Peachtree Group
reco7tCHY7JRxFfX9	Multifamily / residential	The Brodie	Bluerock
reco9RDYM1Vllgk8O	Medical office	Scarborough Medical DST	Inland Private Capital
recoBawpko3wKFvz7	Credit - Hotel	Holiday Inn Express - Opelika, AL	Peachtree Group
recoC3Jh6THf1F17j	Credit - Hotel	Fairfield Inn & Suites by Marriott - Omaha, NE	Peachtree Group
recoCczGfk1kP5BGM	Self storage	Storesmart Loganville	Reliant
recoEXO60NIpFpSK0	Credit - Hotel	Hotel on Philips (Note 2) - Sioux Falls, SD	Peachtree Group
recoErBCQ7zF9xtvo		1501 Jackson - Omaha, NE	Syndicated Equities
recoJA0glCLg6AyVv	Self storage	Midgard Chisholm Rd	Reliant
recoRV6QmtFHUO29q	Multifamily / residential	Springhouse	Bluerock
recocqNY7Y3y3IsBR	Multifamily	Louisville Multifamily DST	Inland Private Capital
recog55hStDXOE1Vp	Credit - Hotel	Element - Palmdale, CA	Peachtree Group
recoikC0BoLcwK4H8	Debt / notes program	Passco Companies Income Fund II, LLC	Passco Companies
recoj1OKAhaoP7Wov	Credit - Hotel	Wyndham Garden - Dania Beach, FL	Peachtree Group
recokvjNtjXHCE46r	Multifamily	Denver Multifamily Portfolio DST	Inland Private Capital
recoxERYH8yYNrET5	Multifamily / residential	Gulfshore Apartment Homes	Bluerock
recoyl2bi8gHekfnB	Multifamily / residential	Luxe - Scottsdale, AZ	Passco Companies
recp0qkLXPLPye77j	Undeveloped / pre-development land	Alberta, Canada - VTB SALES (vendor take-back)	Walton Global
recpC19QgSpIQOjbB	Retail	Silver City - Las Vegas, NV	Passco Companies
recpC1a2kdzUD1AlK	Multifamily / residential	Note 16	Bluerock
recpD7zjt2YVhjhuu	Credit - Hotel	Hotel Indigo - Chattanooga, TN	Peachtree Group
recpIlbQtNcJoxQiy	Credit - Other	Speedway Villas - Myrtle Beach, SC	Peachtree Group
recpR7pmEUE8I1UKr	Multifamily / residential	Chace Lake Villas	Bluerock
recpS5VUNLjCS0bmk	Net-leased retail	Net-Leased Portfolio 10	ExchangeRight
recpTb9FpSOoFNbcb	Credit - Hotel	Aloft - Miami, FL	Peachtree Group
recpUKnUkVtUEjbCS	Credit - Hotel	Comfort Inn - McHenry, MD	Peachtree Group
recpeMtfFqX9Kqvu3	Credit - Hotel	DoubleTree - Youngstown, OH	Peachtree Group
recphfaRZ0a4DUdGg	Net-leased retail & healthcare	Net-Leased Portfolio 18	ExchangeRight
recpiGK5ICx2Pwc7S	Student housing	Orlando Student Housing DST	Inland Private Capital
recpoDmFShWT2YeBp	Self storage	Midgard Newberry	Reliant
recpqaLG9QNpBI2LQ	Retail	Chicagoland Grocery Venture II DST	Inland Private Capital
recprXDnzr7BeprfT	Credit - Hotel	Best Western Plus (Note B) - Cascade Locks, OR	Peachtree Group
recpwIAT1H9puljsA	Net-leased retail	Net-Leased Portfolio 4	ExchangeRight
recpx6A1qSzTYEQe4	Credit - Hotel	Sonesta Simply Suites - Knoxville, TN	Peachtree Group
recpzEujvLKXQYjUH	Retail	Bi-Coastal Home Improvement DST	Inland Private Capital
recq4tLlijlKgCcrj	Multifamily / residential	Motif	Bluerock
recqDqmhKGxiJLjdk	Student housing	Rio 21 and Texan 28 - University of Texas	Syndicated Equities
recqPjeP25gnE1Mvb	Self storage	Midgard Athens	Reliant
recqQ4YsBaLkvK0c7	Credit - Hotel	Hilton Garden Inn - Omaha, NE	Peachtree Group
recqTG2r1111Ep0IT	Retail	BJS Syracuse 1031, L.L.C.	Inland Private Capital
recqWtDjijAhAtAtW	Multifamily	Dallas Multifamily DST	Inland Private Capital
recqb66ZXYOd9kWIh	Government / GSA-leased	Social Security Administration - Indianapolis, IN	Syndicated Equities
recqcWKrweuSMRQ5Y	Credit - Hotel	Home2 Suites - Salisbury, NC	Peachtree Group
recqgL9hQi3vrcS7g	Credit - Hotel	Cambria Suites - Bloomington, MN	Peachtree Group
recqgYEHQ8oK7LWch	Net-leased pharmacy	Walgreens - Amarillo, TX	Syndicated Equities
recqjR9nuw6CIQG2o	Credit - Hotel	Candlewood Suites - Indianapolis, IN	Peachtree Group
recqkb7bBEMMxfn4S	Multifamily / residential	The Preserve at Henderson Beach	Bluerock
recqq8ZTprv0Ondsc	Credit - Hotel	Staybridge Suites - Baltimore, MD (Exit Fee Loan)	Peachtree Group
recqu5TZQsYSP9FXo	Credit - Hotel	Margaritaville - South Padre, TX	Peachtree Group
recqu6CdalzAws6SE	Credit - Hotel	Home2 Suites - Barstow, CA	Peachtree Group
recr0Nxunu6lybaRT	Retail	New York Grocery DST	Inland Private Capital
recr2Fvm4jmPbBIAO	Retail	CVS	Passco Companies
recr30GERUxgvV876	Office	AT&T Office Building - Pewaukee, WI (LOAN DEFAULT - excluded from IPC disposition table)	Inland Private Capital
recr84jXsID6QKzvb	Retail	Inland Honey Creek, L.L.C.	Inland Private Capital
recr8R2mZYHXU7mfb	Credit - Hotel	Holiday Inn Express - Rapid City, SD	Peachtree Group
recr9soMO35qclUUu	Credit - Hotel	Wingate (B Note) - Lancaster, PA	Peachtree Group
recrK29VvTL1Iv6GO	Credit - Hotel	Hampton Inn & Suites - Seal Beach, CA	Peachtree Group
recrRnDBA6agy6z8K	Credit - Hotel	TownePlace Suites - Lone Tree, CO	Peachtree Group
